iter	Passed	Remaining
0	14	2853
1	29	2925
2	42	2809
3	56	2754
4	75	2940
5	90	2915
6	103	2846
7	118	2838
8	135	2875
9	148	2830
10	169	2919
11	183	2871
12	199	2867
13	212	2816
14	226	2790
15	239	2751
16	253	2724
17	268	2714
18	281	2680
19	296	2672
20	311	2656
21	328	2654
22	341	2629
23	356	2613
24	370	2593
25	385	2578
26	400	2569
27	415	2550
28	432	2550
29	444	2519
30	459	2503
31	471	2476
32	486	2463
33	498	2435
34	513	2419
35	526	2400
36	538	2373
37	553	2357
38	565	2335
39	578	2312
40	593	2300
41	605	2277
42	618	2257
43	631	2237
44	644	2221
45	661	2214
46	676	2202
47	699	2215
48	712	2194
49	726	2180
50	738	2157
51	751	2140
52	764	2119
53	778	2103
54	792	2089
55	804	2067
56	818	2053
57	831	2034
58	843	2015
59	858	2002
60	870	1984
61	884	1967
62	896	1949
63	909	1933
64	923	1918
65	936	1901
66	952	1891
67	965	1874
68	977	1855
69	991	1841
70	1003	1824
71	1017	1808
72	1029	1791
73	1042	1775
74	1058	1763
75	1071	1747
76	1085	1734
77	1098	1718
78	1110	1701
79	1125	1688
80	1137	1671
81	1150	1655
82	1162	1638
83	1176	1624
84	1191	1612
85	1204	1597
86	1225	1591
87	1237	1575
88	1252	1561
89	1271	1554
90	1304	1561
91	1320	1550
92	1334	1535
93	1349	1521
94	1360	1504
95	1373	1487
96	1387	1473
97	1399	1456
98	1413	1442
99	1425	1425
100	1438	1410
101	1453	1396
102	1466	1380
103	1482	1368
104	1494	1352
105	1506	1336
106	1521	1322
107	1533	1306
108	1546	1291
109	1558	1275
110	1572	1260
111	1586	1246
112	1598	1230
113	1612	1216
114	1625	1201
115	1637	1185
116	1652	1172
117	1664	1156
118	1677	1141
119	1689	1126
120	1703	1112
121	1718	1098
122	1730	1083
123	1748	1071
124	1760	1056
125	1772	1040
126	1786	1027
127	1798	1011
128	1810	996
129	1823	982
130	1836	967
131	1851	953
132	1865	939
133	1877	924
134	1889	909
135	1903	895
136	1917	881
137	1929	866
138	1941	852
139	1956	838
140	1971	824
141	1988	812
142	2000	797
143	2011	782
144	2024	767
145	2041	754
146	2054	740
147	2067	726
148	2078	711
149	2091	697
150	2108	684
151	2121	669
152	2133	655
153	2145	640
154	2160	627
155	2174	613
156	2187	599
157	2200	584
158	2213	570
159	2228	557
160	2242	543
161	2255	528
162	2273	515
163	2286	501
164	2299	487
165	2315	474
166	2328	460
167	2343	446
168	2358	432
169	2373	418
170	2386	404
171	2401	390
172	2413	376
173	2425	362
174	2440	348
175	2452	334
176	2465	320
177	2478	306
178	2492	292
179	2506	278
180	2517	264
181	2532	250
182	2545	236
183	2558	222
184	2572	208
185	2584	194
186	2597	180
187	2610	166
188	2623	152
189	2638	138
190	2652	124
191	2667	111
192	2680	97
193	2693	83
194	2707	69
195	2719	55
196	2731	41
197	2745	27
198	2758	13
199	2774	0
